,Day,Distance
0,2021-10-17,0.15773355960845947
1,2019-12-22,0.20176610350608826
2,2020-03-29,0.20585675537586212
3,2023-04-02,0.20945745706558228
4,2020-04-05,0.21266895532608032
5,2019-11-03,0.22767283022403717
6,2016-10-23,0.2286888211965561
7,2021-10-24,0.23873688280582428
8,2024-02-11,0.24245165288448334
9,2019-03-10,0.24449768662452698
10,2016-02-14,0.24901454150676727
11,2021-10-31,0.2495616376399994
12,2017-04-09,0.24963204562664032
13,2023-12-31,0.2532540261745453
14,2023-11-12,0.25486382842063904
15,2020-11-01,0.2568758428096771
16,2022-11-13,0.25977420806884766
17,2023-03-26,0.2650729715824127
18,2021-01-24,0.2653460204601288
19,2021-02-28,0.27105921506881714
