,Day,Distance
0,2020-02-01,0.23931457102298737
1,2023-02-18,0.24513068795204163
2,2022-12-31,0.2480342537164688
3,2022-12-10,0.26332980394363403
4,2022-02-19,0.26357048749923706
5,2021-10-30,0.2668706774711609
6,2017-02-04,0.27237024903297424
7,2022-12-24,0.28944122791290283
8,2019-12-21,0.29935237765312195
9,2016-11-19,0.3021642565727234
10,2019-02-02,0.3030000627040863
11,2019-03-16,0.3048308193683624
12,2021-01-23,0.3048832416534424
13,2014-12-20,0.3278104364871979
14,2021-02-06,0.3292768895626068
15,2021-12-25,0.33636271953582764
16,2014-01-18,0.33674904704093933
17,2021-01-30,0.3371541202068329
18,2019-03-02,0.3390224277973175
19,2023-02-25,0.34871113300323486
20,2020-12-05,0.3498556613922119
21,2014-02-08,0.35298195481300354
22,2013-12-28,0.35444968938827515
23,2016-02-13,0.3615776002407074
24,2021-11-20,0.36241477727890015
25,2023-03-04,0.36296308040618896
26,2018-01-06,0.3642169237136841
27,2020-03-07,0.3648121654987335
28,2022-02-12,0.36539626121520996
29,2017-11-25,0.36553725600242615
30,2019-12-14,0.36617356538772583
31,2021-02-27,0.36698830127716064
32,2016-11-26,0.36887961626052856
33,2022-01-01,0.368912011384964
34,2022-04-09,0.3691366910934448
35,2016-03-12,0.36964815855026245
36,2019-11-16,0.3798274099826813
37,2018-03-10,0.3822382986545563
38,2014-01-11,0.3837486803531647
39,2021-02-20,0.38753411173820496
40,2023-03-18,0.3922009766101837
41,2016-01-30,0.39586955308914185
42,2014-01-04,0.3963415026664734
43,2014-11-29,0.39944857358932495
44,2018-11-24,0.40003740787506104
45,2018-12-22,0.4011707901954651
46,2020-02-15,0.4019582271575928
47,2016-03-26,0.40286001563072205
48,2021-03-13,0.40373319387435913
49,2018-12-08,0.40395429730415344
50,2018-12-29,0.4100852310657501
51,2015-01-17,0.41054558753967285
52,2020-03-21,0.4112808108329773
53,2015-02-28,0.41172271966934204
54,2021-10-23,0.4121505916118622
55,2023-03-25,0.4127722680568695
56,2019-12-07,0.4128439724445343
57,2016-02-20,0.41399651765823364
58,2022-12-17,0.41408535838127136
59,2022-02-05,0.4149225354194641
60,2016-11-12,0.41605523228645325
61,2014-11-01,0.4164050817489624
62,2020-02-22,0.41885995864868164
63,2020-03-28,0.41958022117614746
64,2019-11-30,0.42036327719688416
65,2020-10-31,0.4208405315876007
66,2016-01-09,0.423081636428833
67,2022-02-26,0.4233377277851105
68,2021-03-27,0.4236566424369812
69,2020-10-24,0.4237280786037445
70,2018-10-27,0.4259583353996277
71,2022-12-03,0.42848068475723267
72,2014-02-22,0.4293516278266907
73,2020-11-14,0.429610013961792
74,2018-03-17,0.4316670000553131
75,2021-11-27,0.4317092299461365
76,2015-01-10,0.43172088265419006
77,2018-03-31,0.43273696303367615
78,2014-03-01,0.43289270997047424
79,2019-03-09,0.43455827236175537
80,2014-03-08,0.4347139000892639
81,2023-01-14,0.4353536069393158
82,2021-10-16,0.4358488917350769
83,2023-01-07,0.43826308846473694
84,2017-11-18,0.4394412934780121
85,2021-11-13,0.4417501986026764
86,2018-02-03,0.4434410631656647
87,2018-02-17,0.4437240958213806
88,2022-03-26,0.44586724042892456
89,2019-02-09,0.44755733013153076
90,2021-04-10,0.4480171799659729
91,2017-11-11,0.44814199209213257
92,2016-03-19,0.448388934135437
93,2014-03-15,0.4487784206867218
94,2015-01-31,0.44887229800224304
95,2014-12-13,0.45003458857536316
96,2015-10-24,0.4509211480617523
97,2015-10-31,0.45109421014785767
98,2023-11-11,0.453323632478714
99,2014-11-08,0.45383888483047485
